id,term,english,category,alphabet_index,korean_initial,definition,detailed_explanation,related_concepts,source_files,exam_note,bok_appeared,importance,difficulty,concept_image_url,concept_image_alt,known_status,last_reviewed,review_count
CS-001,인수 테스트,Acceptance Test,소프트웨어공학,A,ㅇ,인수 테스트는 발주자·사용자가 실제 업무 기준으로 요구사항 충족과 운영 가능성을 확인해 시스템 인수 여부를 판단하는 최종 검증입니다.,"의미: 인수 테스트는 개발팀이 결함을 찾는 단계를 넘어, 계약·업무 요구사항과 사용 시나리오가 실제 운영 기준을 만족하는지 확인하는 검증이다. 시스템 테스트가 전체 기능의 기술적 완성도를 보지만, 인수 테스트는 사용자의 수용 기준과 업무 적합성이 핵심이다. 활용: 금융권 차세대, 전자금융 서비스에서는 UAT 환경에서 계좌조회, 승인, 예외처리, 권한, 감사로그를 업무 담당자가 확인한다. 요구사항 추적표와 인수 기준이 모호하면 범위 분쟁이 생기므로 사전에 합격 조건을 수치와 사례로 고정해야 한다.","[[통합 테스트]], [[시스템 테스트]], [[블랙박스 테스트]], [[화이트박스 테스트]], [[테스트]]",11-02-02-단위-통합-인수테스트.md; 05-14-29-한국은행-2026-컴퓨터공학-학술-4-소프트웨어-공학.md; 11-소프트웨어공학.md,"소프트웨어공학 문제에서는 인수 테스트의 정의만 쓰지 말고 관련 개념(통합 테스트, 시스템 테스트, 블랙박스 테스트)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",O,상,중,/api/concept-images/CS-001.svg,"인수 테스트(소프트웨어공학)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 통합 테스트, 시스템 테스트, 블랙박스 테스트",,,0
CS-002,접근통제,Access Control,보안,A,ㅈ,"접근통제는 인증된 주체가 업무상 허용된 자원과 행위만 수행하도록 정책, 권한, 감사 절차로 제한하는 보안 통제입니다.","의미: 접근통제는 사용자, 프로세스, 시스템 같은 주체가 파일·API·망 구간 등 객체에 어떤 행위를 할 수 있는지 결정하고 강제하는 체계입니다. 인증은 ‘누구인가’를 확인하고, 인가는 ‘무엇을 해도 되는가’를 판단하며, 접근통제는 그 판단을 실제 정책으로 집행합니다. 활용: 금융권에서는 계정 권한 신청, 승인, 주기적 재검토, 로그 감사가 함께 운영됩니다. DAC는 소유자 재량, MAC은 중앙 정책, RBAC은 직무 기준이라는 차이를 면접에서 비교하면 좋습니다. 과도한 권한과 예외 계정은 침해 사고의 확산 경로가 되므로 최소 권한과 직무 분리를 함께 봐야 합니다.","[[인증]], [[인가]], [[DAC]], [[MAC]], [[암호화]]",19-1-코스콤-자소서.md; 02-01-기본-전제와-일정.md; 19-3-금융결제원-자소서.md,"보안 문제에서는 접근통제의 정의만 쓰지 말고 관련 개념(인증, 인가, DAC)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,상,중,/api/concept-images/CS-002.svg,"접근통제(보안)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 인증, 인가, DAC",,,0
CS-003,정확도,Accuracy,인공지능·데이터,A,ㅈ,"정확도는 전체 예측 중 정답 비율을 보는 지표로, 클래스가 균형적이고 오류 비용이 비슷할 때 모델의 전반적 적중률을 빠르게 비교하게 해줍니다.","의미: 정확도는 혼동 행렬의 전체 표본 중 TP와 TN이 차지하는 비율로, 분류 모델이 얼마나 자주 맞혔는지를 한 숫자로 요약한다. 다만 금융사기처럼 양성 사례가 적거나 오탐과 미탐의 비용이 다른 문제에서는 높은 정확도가 좋은 모델을 뜻하지 않을 수 있다. 활용: 초기 모델 비교나 균형 데이터 평가에는 유용하지만, 면접에서는 정밀도·재현율·F1과 함께 해석해야 한다. 특히 공공 민원 분류처럼 클래스 분포가 바뀌면 운영 중 기준선 정확도를 계속 재점검해야 한다.","[[테스트 데이터]], [[혼동 행렬]], [[정밀도]], [[재현율]], [[머신러닝]]",05-14-33-한국은행-2026-컴퓨터공학-학술-8-머신-러닝.md; 03-08-한국은행-컴퓨터공학-면접-질문-2025.md,"인공지능·데이터 문제에서는 정확도의 정의만 쓰지 말고 관련 개념(테스트 데이터, 혼동 행렬, 정밀도)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",O,중,중,/api/concept-images/CS-003.svg,"정확도(인공지능·데이터)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 테스트 데이터, 혼동 행렬, 정밀도",,,0
CS-004,ACID,ACID,데이터베이스,A,A,ACID는 트랜잭션이 장애와 동시 실행 속에서도 원자성·일관성·고립성·지속성을 지켜 데이터 신뢰성과 복구 가능성을 보장하는 기준입니다.,"의미: ACID는 데이터베이스 트랜잭션이 성공 또는 실패를 판단하는 네 가지 품질 조건이다. 원자성은 전부 반영 또는 전부 취소, 일관성은 제약 위반 방지, 고립성은 동시에 실행된 작업의 간섭 제한, 지속성은 커밋 후 장애에도 결과 보존을 뜻한다. 활용: 금융 이체처럼 중간 상태가 남으면 안 되는 업무에서 핵심이다. 성능을 위해 고립성 수준을 낮출 수 있지만 더티 리드, 반복 불가능 읽기, 팬텀 리드 같은 현상을 이해하고 업무 위험에 맞춰 신중히 선택해야 한다.","[[종속성 보존]], [[트랜잭션]], [[원자성]], [[일관성]], [[SQL]]",02-01-기본-전제와-일정.md; 05-14-10-한국은행-2024-컴퓨터공학-학술-파트-I.md; 07-04-트랜잭션과-회복.md,"데이터베이스 문제에서는 ACID의 정의만 쓰지 말고 관련 개념(종속성 보존, 트랜잭션, 원자성)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",O,상,중,/api/concept-images/CS-004.svg,"ACID(데이터베이스)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 종속성 보존, 트랜잭션, 원자성",,,0
CS-005,AES,AES,보안,A,A,AES는 고정 크기 블록을 같은 비밀키로 빠르게 암복호화하는 표준 대칭키 알고리즘으로 저장·전송 데이터 보호에 쓰입니다.,"의미: AES는 128비트 블록을 128·192·256비트 키로 여러 라운드 치환·순열 변환해 암호문을 만드는 대칭키 블록 암호입니다. 알고리즘 자체보다 키 관리와 운용 모드가 보안성을 크게 좌우하며, RSA 같은 비대칭키보다 빠르지만 키를 안전하게 공유해야 한다는 전제가 있습니다. 활용: DB 컬럼 암호화, 파일 암호화, TLS 세션 암호화에 널리 쓰이고, 실제 통신에서는 공개키로 세션키를 교환한 뒤 AES로 본문을 처리하는 하이브리드 방식이 일반적입니다. ECB 모드는 패턴이 노출되므로 피하고, CBC·GCM 등 모드와 IV/Nonce 재사용 금지를 함께 설명해야 합니다.","[[대칭키 암호화]], [[비대칭키 암호화]], [[RSA]], [[SHA]], [[인증]]",04-04-네트워크-프로토콜-보안.md; 03-08-한국은행-컴퓨터공학-면접-질문-2025.md; 05-02-기업은행-기출.md,"보안 문제에서는 AES의 정의만 쓰지 말고 관련 개념(대칭키 암호화, 비대칭키 암호화, RSA)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",O,상,중,/api/concept-images/CS-005.svg,"AES(보안)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 대칭키 암호화, 비대칭키 암호화, RSA",,,0
CS-006,애자일,Agile,소프트웨어공학,A,ㅇ,애자일은 짧은 반복 개발과 지속적 피드백으로 불확실한 요구를 조정하며 동작하는 소프트웨어 가치를 빠르게 누적하는 접근법입니다.,"의미: 애자일은 문서를 없애는 방법이 아니라 변화가 잦은 환경에서 작은 단위로 계획·구현·검증을 반복해 위험을 줄이는 개발 철학과 실천 묶음이다. 폭포수 모델이 단계별 확정을 전제한다면, 애자일은 우선순위와 요구사항을 계속 재평가한다. 활용: 금융 앱, 내부 업무시스템 개선처럼 규제와 사용자 피드백이 함께 변하는 프로젝트에서 스프린트, 백로그, 회고로 범위를 조정한다. 다만 핵심 통제, 보안 심사, 승인 산출물은 생략할 수 없으므로 조직의 거버넌스와 결합해 운영해야 한다.","[[프로토타입 모델]], [[나선형 모델]], [[스크럼]], [[스프린트]], [[테스트]]",05-08-산업은행-기출.md; 05-03-대구은행-기출.md; 05-14-14-한국은행-2025-컴퓨터공학-학술-4-소프트웨어-공학.md,"소프트웨어공학 문제에서는 애자일의 정의만 쓰지 말고 관련 개념(프로토타입 모델, 나선형 모델, 스크럼)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",O,상,하,/api/concept-images/CS-006.svg,"애자일(소프트웨어공학)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 프로토타입 모델, 나선형 모델, 스크럼",,,0
CS-007,AIMD,AIMD,네트워크,A,A,AIMD는 TCP가 혼잡이 없을 때 전송 창을 서서히 키우고 손실을 감지하면 크게 줄여 공정성과 안정성을 맞추는 원리입니다.,"의미: AIMD는 Additive Increase Multiplicative Decrease의 약자로, ACK가 정상적으로 돌아오면 혼잡 윈도우를 선형 증가시키고 손실·타임아웃·중복 ACK가 보이면 윈도우를 배수로 감소시키는 TCP 혼잡 제어의 기본 사고방식입니다. 급격히 늘리지 않아 폭주를 피하고, 줄일 때는 크게 줄여 병목 링크를 안정화합니다. 활용: Slow Start 이후 혼잡 회피 구간을 설명할 때 핵심 비교점이 됩니다. 흐름 제어가 수신자 버퍼 보호라면 AIMD 기반 혼잡 제어는 네트워크 내부 병목 보호입니다. 금융망 장애 분석에서는 패킷 손실, RTT 증가, 재전송 증가가 처리량 저하로 이어지는 원인을 구분하는 데 유용합니다.","[[Go-Back-N]], [[Selective Repeat]], [[Slow Start]], [[HTTP]], [[TCP]]",05-06-예탁결제원-기출.md,"네트워크 문제에서는 AIMD의 정의만 쓰지 말고 관련 개념(Go-Back-N, Selective Repeat, Slow Start)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,중,상,/api/concept-images/CS-007.svg,"AIMD(네트워크)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: Go-Back-N, Selective Repeat, Slow Start",,,0
CS-008,대체키,Alternate Key,데이터베이스,A,ㄷ,대체키는 후보키 중 기본키로 채택되지 않았지만 행을 유일하게 식별할 수 있어 유니크 제약이나 업무 조회 기준으로 쓰이는 키입니다.,"의미: 대체키는 릴레이션에서 튜플을 유일하게 구분할 수 있는 후보키 가운데 기본키로 선택되지 않은 나머지 키다. 예를 들어 고객 테이블에서 내부 고객번호를 기본키로 쓰더라도 주민등록번호나 이메일이 유일하면 대체키가 될 수 있다. 활용: 대체키는 중복 가입 방지, 업무 검색, 외부 시스템 매핑에 자주 쓰이며 보통 UNIQUE 제약과 인덱스로 보호한다. 기본키와 달리 NULL 허용 여부는 설계와 DBMS 제약에 따라 달라지므로 식별 안정성과 개인정보 위험을 함께 검토해야 한다.","[[후보키]], [[기본키]], [[외래키]], [[복합키]], [[SQL]]",보강 개념(페이지 직접 언급 없음),"데이터베이스 문제에서는 대체키의 정의만 쓰지 말고 관련 개념(후보키, 기본키, 외래키)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,하,중,/api/concept-images/CS-008.svg,"대체키(데이터베이스)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 후보키, 기본키, 외래키",,,0
CS-009,ALU,ALU,컴퓨터구조,A,A,ALU는 CPU 안에서 레지스터 값을 입력받아 산술·논리·비교 연산을 수행하고 조건 플래그를 만들어 명령 실행 결과를 결정하는 계산 핵심부입니다.,"의미: ALU는 덧셈, 뺄셈, AND/OR, 시프트, 비교처럼 명령어가 요구한 실제 계산을 조합논리 회로로 수행하는 CPU 구성 요소입니다. 제어장치가 연산 종류를 지정하면 레지스터나 내부 버스의 피연산자를 받아 결과와 상태 플래그를 반환합니다. 활용: 면접에서는 ALU를 CPU 전체나 제어장치와 구분해 설명하는 것이 중요합니다. ALU가 빠르더라도 데이터가 캐시에 없거나 파이프라인 해저드가 생기면 성능은 제한됩니다. 금융 배치나 암호 연산처럼 반복 계산이 많은 작업에서는 정수/부동소수점 유닛, SIMD, 병렬화 가능성이 병목 판단 포인트가 됩니다.","[[컴퓨터구조]], [[CPU]], [[제어장치]], [[레지스터]], [[캐시]]",05-03-대구은행-기출.md; 04-04-네트워크-프로토콜-보안.md; 02-08-하루-루틴과-주간-점검표.md,"컴퓨터구조 문제에서는 ALU의 정의만 쓰지 말고 관련 개념(컴퓨터구조, CPU, 제어장치)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,상,중,/api/concept-images/CS-009.svg,"ALU(컴퓨터구조)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 컴퓨터구조, CPU, 제어장치",,,0
CS-010,AML,AML,금융IT·신기술,A,A,"AML은 자금세탁과 테러자금 조달을 막기 위해 고객 확인, 거래 감시, 의심거래 보고를 체계화한 금융 규제·내부통제 활동입니다.","의미: AML은 불법 자금이 정상 거래처럼 보이도록 유입·분산·통합되는 과정을 탐지하고 차단하는 금융회사 의무 체계다. KYC가 고객 신원과 위험도를 확인하는 출발점이라면, AML은 거래 이후 모니터링과 보고까지 포함한다. 활용: 은행·증권사는 고객 위험등급, 제재명단, 고액·반복·분산 거래 패턴을 결합해 의심거래를 탐지하고 FIU 보고 절차를 운영한다. 자동화 모델은 오탐이 많으면 업무 부담을 키우고 미탐은 제재 위험을 만들므로 룰, 통계, 머신러닝 결과를 설명 가능하게 관리해야 한다.","[[로보어드바이저]], [[이상거래탐지]], [[KYC]], [[디지털 트윈]], [[전자금융]]",16-인공지능-기계학습.md; 18-2-RegTech.md; 04-01-빅데이터-블록체인-머신러닝.md,"금융IT·신기술 문제에서는 AML의 정의만 쓰지 말고 관련 개념(로보어드바이저, 이상거래탐지, KYC)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,상,중,/api/concept-images/CS-010.svg,"AML(금융IT·신기술)의 핵심 정의와 관련 개념을 요약한 CSV 링크 기반 동적 개념 이미지; 관련 개념: 로보어드바이저, 이상거래탐지, KYC",,,0
